age,workclass,education,education-num,marital-status,occupation,race,sex,hours-per-week,income
31,Private,HS-grad,9,Married-civ-spouse,Craft-repair,White,Male,40,<=50K
54,Self-emp-not-inc,Some-college,10,Married-civ-spouse,Sales,White,Male,40,<=50K
46,Private,Bachelors,13,Married-civ-spouse,Sales,White,Male,40,>50K
35,Private,Some-college,10,Divorced,Machine-op-inspct,White,Female,40,<=50K
24,Private,Some-college,10,Married-civ-spouse,Protective-serv,White,Male,24,<=50K
24,Private,11th,7,Never-married,Sales,White,Male,40,<=50K
21,Private,HS-grad,9,Never-married,Other-service,White,Female,40,<=50K
25,State-gov,Bachelors,13,Married-civ-spouse,Other-service,White,Female,40,<=50K
53,State-gov,Some-college,10,Married-civ-spouse,Protective-serv,White,Male,60,<=50K
23,Private,Some-college,10,Never-married,Handlers-cleaners,White,Male,10,<=50K
22,Private,HS-grad,9,Never-married,Adm-clerical,White,Female,60,<=50K
40,Private,Assoc-voc,11,Divorced,Exec-managerial,Amer-Indian-Eskimo,Female,40,<=50K
42,Federal-gov,Bachelors,13,Married-civ-spouse,Exec-managerial,White,Male,52,>50K
21,Private,HS-grad,9,Never-married,Adm-clerical,White,Male,40,<=50K
45,State-gov,Masters,14,Married-civ-spouse,Prof-specialty,White,Male,45,>50K
35,Self-emp-not-inc,HS-grad,9,Never-married,Other-service,White,Female,30,<=50K
40,Private,Some-college,10,Married-civ-spouse,Craft-repair,White,Male,44,<=50K
45,Self-emp-not-inc,Prof-school,15,Married-civ-spouse,Prof-specialty,White,Male,50,>50K
19,Private,HS-grad,9,Married-AF-spouse,Adm-clerical,White,Female,25,<=50K
60,State-gov,Doctorate,16,Married-civ-spouse,Prof-specialty,White,Male,40,>50K
38,Private,HS-grad,9,Divorced,Craft-repair,White,Male,50,<=50K
36,Private,HS-grad,9,Married-civ-spouse,Craft-repair,White,Male,60,<=50K
42,Private,Some-college,10,Widowed,Tech-support,White,Female,40,<=50K
24,Private,11th,7,Married-civ-spouse,Craft-repair,White,Male,65,<=50K
32,Private,Assoc-acdm,12,Married-civ-spouse,Exec-managerial,White,Female,40,<=50K
30,Self-emp-inc,Some-college,10,Never-married,Exec-managerial,White,Female,40,>50K
32,Private,HS-grad,9,Married-civ-spouse,Machine-op-inspct,White,Male,40,>50K
41,Private,Masters,14,Married-civ-spouse,Prof-specialty,White,Female,45,<=50K
52,Private,5th-6th,3,Widowed,Other-service,White,Female,40,<=50K
34,Private,1st-4th,2,Married-civ-spouse,Craft-repair,White,Male,40,<=50K
27,Private,Bachelors,13,Never-married,Sales,Other,Male,38,<=50K
24,Private,Bachelors,13,Married-civ-spouse,Prof-specialty,Asian-Pac-Islander,Female,40,<=50K
39,Local-gov,Bachelors,13,Married-civ-spouse,Prof-specialty,White,Female,42,<=50K
43,Self-emp-not-inc,Some-college,10,Never-married,Transport-moving,Black,Male,30,<=50K
38,Private,Bachelors,13,Married-civ-spouse,Exec-managerial,White,Male,40,>50K
49,Local-gov,Bachelors,13,Divorced,Exec-managerial,White,Female,40,<=50K
40,Private,Some-college,10,Married-civ-spouse,Prof-specialty,White,Male,40,>50K
27,Private,Bachelors,13,Never-married,Exec-managerial,White,Female,55,<=50K
