row_id,dataset,train_size,seed,method,source,primary_method,is_refill,refill_attempt
0,adult,100,2025,ctgan_strong,ctgan_strong,ctgan_strong,False,0
1,adult,100,2025,ctgan_strong,ctgan_strong,ctgan_strong,False,0
2,adult,100,2025,ctgan_strong,ctgan_strong,ctgan_strong,False,0
3,adult,100,2025,ctgan_strong,ctgan_strong,ctgan_strong,False,0
4,adult,100,2025,ctgan_strong,ctgan_strong,ctgan_strong,False,0
5,adult,100,2025,ctgan_strong,ctgan_strong,ctgan_strong,False,0
6,adult,100,2025,ctgan_strong,ctgan_strong,ctgan_strong,False,0
7,adult,100,2025,ctgan_strong,ctgan_strong,ctgan_strong,False,0
8,adult,100,2025,ctgan_strong,ctgan_strong,ctgan_strong,False,0
9,adult,100,2025,ctgan_strong,ctgan_strong,ctgan_strong,False,0
10,adult,100,2025,ctgan_strong,ctgan_strong,ctgan_strong,False,0
11,adult,100,2025,ctgan_strong,ctgan_strong,ctgan_strong,False,0
12,adult,100,2025,ctgan_strong,ctgan_strong,ctgan_strong,False,0
13,adult,100,2025,ctgan_strong,ctgan_strong,ctgan_strong,False,0
14,adult,100,2025,ctgan_strong,ctgan_strong,ctgan_strong,False,0
15,adult,100,2025,ctgan_strong,ctgan_strong,ctgan_strong,False,0
16,adult,100,2025,ctgan_strong,ctgan_strong,ctgan_strong,False,0
17,adult,100,2025,ctgan_strong,ctgan_strong,ctgan_strong,False,0
18,adult,100,2025,ctgan_strong,ctgan_strong,ctgan_strong,False,0
19,adult,100,2025,ctgan_strong,ctgan_strong,ctgan_strong,False,0
20,adult,100,2025,ctgan_strong,ctgan_strong,ctgan_strong,False,0
21,adult,100,2025,ctgan_strong,ctgan_strong,ctgan_strong,False,0
22,adult,100,2025,ctgan_strong,ctgan_strong,ctgan_strong,False,0
23,adult,100,2025,ctgan_strong,ctgan_strong,ctgan_strong,False,0
24,adult,100,2025,ctgan_strong,ctgan_strong,ctgan_strong,False,0
25,adult,100,2025,ctgan_strong,ctgan_strong,ctgan_strong,False,0
26,adult,100,2025,ctgan_strong,ctgan_strong,ctgan_strong,False,0
27,adult,100,2025,ctgan_strong,ctgan_strong,ctgan_strong,False,0
28,adult,100,2025,ctgan_strong,ctgan_strong,ctgan_strong,False,0
29,adult,100,2025,ctgan_strong,ctgan_strong,ctgan_strong,False,0
30,adult,100,2025,ctgan_strong,ctgan_strong,ctgan_strong,False,0
31,adult,100,2025,ctgan_strong,ctgan_strong,ctgan_strong,False,0
