row_id,dataset,train_size,seed,method,source,primary_method,is_refill,refill_attempt
0,adult,500,2025,fallback_only,fallback_only,fallback_only,True,1
1,adult,500,2025,fallback_only,fallback_only,fallback_only,True,1
2,adult,500,2025,fallback_only,fallback_only,fallback_only,True,1
3,adult,500,2025,fallback_only,fallback_only,fallback_only,True,1
4,adult,500,2025,fallback_only,fallback_only,fallback_only,True,1
5,adult,500,2025,fallback_only,fallback_only,fallback_only,True,1
6,adult,500,2025,fallback_only,fallback_only,fallback_only,True,1
7,adult,500,2025,fallback_only,fallback_only,fallback_only,True,1
8,adult,500,2025,fallback_only,fallback_only,fallback_only,True,1
9,adult,500,2025,fallback_only,fallback_only,fallback_only,True,1
10,adult,500,2025,fallback_only,fallback_only,fallback_only,True,1
11,adult,500,2025,fallback_only,fallback_only,fallback_only,True,1
12,adult,500,2025,fallback_only,fallback_only,fallback_only,True,1
13,adult,500,2025,fallback_only,fallback_only,fallback_only,True,1
14,adult,500,2025,fallback_only,fallback_only,fallback_only,True,1
15,adult,500,2025,fallback_only,fallback_only,fallback_only,True,1
16,adult,500,2025,fallback_only,fallback_only,fallback_only,True,1
17,adult,500,2025,fallback_only,fallback_only,fallback_only,True,1
18,adult,500,2025,fallback_only,fallback_only,fallback_only,True,1
19,adult,500,2025,fallback_only,fallback_only,fallback_only,True,1
20,adult,500,2025,fallback_only,fallback_only,fallback_only,True,1
21,adult,500,2025,fallback_only,fallback_only,fallback_only,True,1
22,adult,500,2025,fallback_only,fallback_only,fallback_only,True,1
23,adult,500,2025,fallback_only,fallback_only,fallback_only,True,1
24,adult,500,2025,fallback_only,fallback_only,fallback_only,True,1
25,adult,500,2025,fallback_only,fallback_only,fallback_only,True,1
26,adult,500,2025,fallback_only,fallback_only,fallback_only,True,1
27,adult,500,2025,fallback_only,fallback_only,fallback_only,True,1
28,adult,500,2025,fallback_only,fallback_only,fallback_only,True,1
29,adult,500,2025,fallback_only,fallback_only,fallback_only,True,1
30,adult,500,2025,fallback_only,fallback_only,fallback_only,True,1
31,adult,500,2025,fallback_only,fallback_only,fallback_only,True,1
32,adult,500,2025,fallback_only,fallback_only,fallback_only,True,1
33,adult,500,2025,fallback_only,fallback_only,fallback_only,True,1
34,adult,500,2025,fallback_only,fallback_only,fallback_only,True,1
35,adult,500,2025,fallback_only,fallback_only,fallback_only,True,1
36,adult,500,2025,fallback_only,fallback_only,fallback_only,True,1
37,adult,500,2025,fallback_only,fallback_only,fallback_only,True,1
38,adult,500,2025,fallback_only,fallback_only,fallback_only,True,1
39,adult,500,2025,fallback_only,fallback_only,fallback_only,True,1
40,adult,500,2025,fallback_only,fallback_only,fallback_only,True,1
41,adult,500,2025,fallback_only,fallback_only,fallback_only,True,1
42,adult,500,2025,fallback_only,fallback_only,fallback_only,True,1
43,adult,500,2025,fallback_only,fallback_only,fallback_only,True,1
44,adult,500,2025,fallback_only,fallback_only,fallback_only,True,1
45,adult,500,2025,fallback_only,fallback_only,fallback_only,True,1
46,adult,500,2025,fallback_only,fallback_only,fallback_only,True,1
47,adult,500,2025,fallback_only,fallback_only,fallback_only,True,1
48,adult,500,2025,fallback_only,fallback_only,fallback_only,True,1
49,adult,500,2025,fallback_only,fallback_only,fallback_only,True,1
50,adult,500,2025,fallback_only,fallback_only,fallback_only,True,1
51,adult,500,2025,fallback_only,fallback_only,fallback_only,True,1
52,adult,500,2025,fallback_only,fallback_only,fallback_only,True,1
53,adult,500,2025,fallback_only,fallback_only,fallback_only,True,1
54,adult,500,2025,fallback_only,fallback_only,fallback_only,True,1
55,adult,500,2025,fallback_only,fallback_only,fallback_only,True,1
56,adult,500,2025,fallback_only,fallback_only,fallback_only,True,1
57,adult,500,2025,fallback_only,fallback_only,fallback_only,True,1
58,adult,500,2025,fallback_only,fallback_only,fallback_only,True,1
59,adult,500,2025,fallback_only,fallback_only,fallback_only,True,1
60,adult,500,2025,fallback_only,fallback_only,fallback_only,True,1
61,adult,500,2025,fallback_only,fallback_only,fallback_only,True,1
62,adult,500,2025,fallback_only,fallback_only,fallback_only,True,1
63,adult,500,2025,fallback_only,fallback_only,fallback_only,True,1
64,adult,500,2025,fallback_only,fallback_only,fallback_only,True,1
65,adult,500,2025,fallback_only,fallback_only,fallback_only,True,1
66,adult,500,2025,fallback_only,fallback_only,fallback_only,True,1
67,adult,500,2025,fallback_only,fallback_only,fallback_only,True,1
68,adult,500,2025,fallback_only,fallback_only,fallback_only,True,1
69,adult,500,2025,fallback_only,fallback_only,fallback_only,True,1
70,adult,500,2025,fallback_only,fallback_only,fallback_only,True,1
71,adult,500,2025,fallback_only,fallback_only,fallback_only,True,1
72,adult,500,2025,fallback_only,fallback_only,fallback_only,True,1
73,adult,500,2025,fallback_only,fallback_only,fallback_only,True,1
74,adult,500,2025,fallback_only,fallback_only,fallback_only,True,1
75,adult,500,2025,fallback_only,fallback_only,fallback_only,True,1
76,adult,500,2025,fallback_only,fallback_only,fallback_only,True,1
77,adult,500,2025,fallback_only,fallback_only,fallback_only,True,1
78,adult,500,2025,fallback_only,fallback_only,fallback_only,True,1
79,adult,500,2025,fallback_only,fallback_only,fallback_only,True,1
80,adult,500,2025,fallback_only,fallback_only,fallback_only,True,1
81,adult,500,2025,fallback_only,fallback_only,fallback_only,True,1
82,adult,500,2025,fallback_only,fallback_only,fallback_only,True,1
83,adult,500,2025,fallback_only,fallback_only,fallback_only,True,1
84,adult,500,2025,fallback_only,fallback_only,fallback_only,True,1
85,adult,500,2025,fallback_only,fallback_only,fallback_only,True,1
