age,workclass,education,education-num,marital-status,occupation,race,sex,hours-per-week,income
80,Private,Some-college,10,Never-married,Prof-specialty,Asian-Pac-Islander,Male,46,>50K
22,Private,Bachelors,13,Married-civ-spouse,Other-service,Asian-Pac-Islander,Male,37,<=50K
23,Private,Doctorate,16,Never-married,Sales,White,Male,41,<=50K
21,Self-emp-not-inc,Assoc-voc,11,Divorced,Farming-fishing,Asian-Pac-Islander,Male,10,>50K
64,Private,Assoc-voc,11,Married-civ-spouse,Prof-specialty,White,Male,37,<=50K
35,State-gov,Bachelors,13,Never-married,Exec-managerial,White,Female,33,<=50K
52,State-gov,Some-college,10,Never-married,Exec-managerial,Black,Male,34,<=50K
38,Federal-gov,Masters,14,Never-married,Farming-fishing,Black,Female,41,<=50K
58,Private,HS-grad,9,Divorced,Farming-fishing,White,Male,48,>50K
24,Private,Some-college,10,Divorced,Prof-specialty,Black,Female,32,<=50K
35,Private,HS-grad,9,Never-married,Adm-clerical,White,Male,35,<=50K
33,Private,Bachelors,13,Married-civ-spouse,Adm-clerical,White,Male,36,<=50K
55,Private,Assoc-voc,11,Married-civ-spouse,Prof-specialty,White,Male,10,<=50K
40,Private,11th,7,Married-civ-spouse,Prof-specialty,White,Male,45,<=50K
37,Private,7th-8th,4,Married-civ-spouse,Adm-clerical,Black,Male,39,<=50K
22,Private,HS-grad,9,Married-civ-spouse,Sales,White,Male,44,<=50K
34,State-gov,11th,7,Divorced,Adm-clerical,White,Male,43,<=50K
84,Self-emp-not-inc,HS-grad,9,Married-civ-spouse,Prof-specialty,White,Male,12,<=50K
75,Private,HS-grad,9,Never-married,Machine-op-inspct,Black,Male,18,<=50K
29,Private,Some-college,10,Divorced,Machine-op-inspct,White,Male,38,<=50K
60,Private,Doctorate,16,Married-civ-spouse,Adm-clerical,Asian-Pac-Islander,Male,60,<=50K
48,Private,Assoc-voc,11,Married-civ-spouse,Craft-repair,White,Male,36,<=50K
59,Federal-gov,Some-college,10,Never-married,Transport-moving,White,Male,32,<=50K
35,Self-emp-not-inc,HS-grad,9,Never-married,Adm-clerical,White,Male,10,<=50K
47,State-gov,11th,7,Married-civ-spouse,Transport-moving,Black,Female,22,<=50K
32,Private,Bachelors,13,Married-civ-spouse,Craft-repair,White,Male,15,<=50K
53,Private,HS-grad,9,Never-married,Adm-clerical,White,Male,32,<=50K
54,State-gov,Bachelors,13,Married-civ-spouse,Protective-serv,White,Male,33,>50K
32,Private,HS-grad,9,Widowed,Prof-specialty,Black,Male,10,>50K
54,Private,Some-college,10,Married-civ-spouse,Other-service,White,Female,42,<=50K
44,Private,HS-grad,9,Married-civ-spouse,Other-service,White,Male,10,<=50K
43,State-gov,Doctorate,16,Married-civ-spouse,Exec-managerial,White,Male,47,>50K
22,Local-gov,HS-grad,9,Never-married,Farming-fishing,White,Male,44,<=50K
66,Federal-gov,HS-grad,9,Married-civ-spouse,Sales,White,Male,10,<=50K
62,Local-gov,5th-6th,3,Never-married,Handlers-cleaners,Other,Male,32,<=50K
36,Private,HS-grad,9,Married-civ-spouse,Farming-fishing,Asian-Pac-Islander,Male,37,<=50K
52,Federal-gov,Some-college,10,Never-married,Adm-clerical,White,Male,33,<=50K
32,Self-emp-not-inc,HS-grad,9,Divorced,Craft-repair,White,Male,55,<=50K
51,Private,HS-grad,9,Separated,Craft-repair,Other,Female,10,<=50K
53,Private,7th-8th,4,Never-married,Exec-managerial,White,Male,68,>50K
