age,workclass,education,education-num,marital-status,occupation,race,sex,hours-per-week,income
51,Private,7th-8th,4,Married-spouse-absent,Machine-op-inspct,White,Female,35,>50K
46,State-gov,Bachelors,13,Never-married,Sales,Asian-Pac-Islander,Male,60,>50K
25,Private,Some-college,10,Married-civ-spouse,Machine-op-inspct,White,Female,38,<=50K
28,Private,Bachelors,13,Never-married,Sales,Asian-Pac-Islander,Male,42,>50K
47,Private,Some-college,10,Married-civ-spouse,Exec-managerial,Black,Female,48,<=50K
42,State-gov,Bachelors,13,Never-married,Sales,Asian-Pac-Islander,Male,50,>50K
24,Private,Some-college,10,Never-married,Sales,Asian-Pac-Islander,Female,30,<=50K
48,Private,Bachelors,13,Divorced,Exec-managerial,Black,Male,45,>50K
51,Private,7th-8th,4,Never-married,Sales,Asian-Pac-Islander,Female,25,<=50K
27,Private,Some-college,10,Never-married,Exec-managerial,Asian-Pac-Islander,Female,38,>50K
29,Private,Bachelors,13,Married-civ-spouse,Sales,White,Female,35,<=50K
45,Private,7th-8th,4,Never-married,Sales,White,Female,32,<=50K
40,Private,Bachelors,13,Never-married,Sales,White,Female,42,<=50K
41,Local-gov,Bachelors,13,Divorced,Sales,Asian-Pac-Islander,Female,35,<=50K
67,Private,HS-grad,9,Married-spouse-absent,Farming-fishing,Black,Male,20,<=50K
38,Self-emp-not-inc,Some-college,10,Divorced,Craft-repair,White,Male,60,>50K
42,Local-gov,HS-grad,9,Married-civ-spouse,Farming-fishing,Asian-Pac-Islander,Female,40,<=50K
51,Private,Bachelors,13,Divorced,Exec-managerial,White,Male,55,>50K
39,Self-emp-not-inc,Some-college,10,Married-civ-spouse,Craft-repair,White,Male,45,>50K
53,Local-gov,HS-grad,9,Married-civ-spouse,Farming-fishing,Asian-Pac-Islander,Female,35,<=50K
40,Self-emp-not-inc,HS-grad,9,Married-spouse-absent,Farming-fishing,Black,Male,25,<=50K
46,Local-gov,Bachelors,13,Married-civ-spouse,Prof-specialty,White,Male,65,>50K
58,Private,Bachelors,13,Married-civ-spouse,Exec-managerial,White,Male,40,>50K
48,Self-emp-not-inc,HS-grad,9,Married-spouse-absent,Craft-repair,White,Male,30,<=50K
52,Private,Bachelors,13,Divorced,Exec-managerial,Asian-Pac-Islander,Female,70,>50K
36,Local-gov,HS-grad,9,Married-civ-spouse,Farming-fishing,Black,Male,45,<=50K
51,Self-emp-not-inc,Bachelors,13,Divorced,Craft-repair,White,Male,75,>50K
42,Self-emp-not-inc,Some-college,10,Divorced,Sales,White,Male,40,>50K
39,Local-gov,Bachelors,13,Married-civ-spouse,Craft-repair,Asian-Pac-Islander,Female,35,<=50K
43,Self-emp-not-inc,HS-grad,9,Divorced,Exec-managerial,White,Male,65,>50K
30,Private,Bachelors,13,Married-civ-spouse,Prof-specialty,Asian-Pac-Islander,Female,45,>50K
26,Private,Bachelors,13,Married-civ-spouse,Adm-clerical,White,Female,20,<=50K
35,Private,Some-college,10,Never-married,Craft-repair,Asian-Pac-Islander,Female,10,<=50K
49,Self-emp-not-inc,Bachelors,13,Married-civ-spouse,Exec-managerial,White,Male,42,>50K
28,Private,HS-grad,9,Never-married,Handlers-cleaners,Asian-Pac-Islander,Female,25,<=50K
45,Self-emp-not-inc,Bachelors,13,Married-civ-spouse,Adm-clerical,White,Male,35,>50K
48,State-gov,Bachelors,13,Married-civ-spouse,Exec-managerial,White,Male,38,>50K
41,Private,HS-grad,9,Never-married,Craft-repair,Asian-Pac-Islander,Female,30,<=50K
32,Private,Some-college,10,Never-married,Adm-clerical,Asian-Pac-Islander,Female,20,<=50K
38,Self-emp-not-inc,Bachelors,13,Never-married,Adm-clerical,Asian-Pac-Islander,Female,25,>50K
38,Local-gov,Some-college,10,Widowed,Craft-repair,Asian-Pac-Islander,Female,30,<=50K
27,Self-emp-not-inc,Some-college,10,Never-married,Sales,Asian-Pac-Islander,Female,20,<=50K
35,Private,7th-8th,4,Married-civ-spouse,Craft-repair,White,Male,40,>50K
41,Self-emp-not-inc,Some-college,10,Divorced,Exec-managerial,White,Male,55,>50K
36,Federal-gov,Bachelors,13,Married-civ-spouse,Adm-clerical,Asian-Pac-Islander,Female,35,<=50K
32,Self-emp-not-inc,Bachelors,13,Married-civ-spouse,Sales,Asian-Pac-Islander,Female,30,>50K
29,Private,Some-college,10,Never-married,Other-service,White,Male,20,<=50K
48,Federal-gov,Bachelors,13,Divorced,Adm-clerical,Asian-Pac-Islander,Female,40,<=50K
42,Local-gov,Bachelors,13,Married-civ-spouse,Craft-repair,Asian-Pac-Islander,Female,45,>50K
28,Self-emp-not-inc,Some-college,10,Never-married,Other-service,White,Male,40,<=50K
41,Federal-gov,HS-grad,9,Married-civ-spouse,Sales,Black,Male,38,>50K
29,Private,Doctorate,16,Married-civ-spouse,Sales,White,Female,48,>50K
42,Private,Bachelors,13,Divorced,Exec-managerial,White,Male,25,<=50K
65,Private,HS-grad,9,Married-civ-spouse,Machine-op-inspct,Black,Female,45,<=50K
48,Federal-gov,Some-college,10,Divorced,Prof-specialty,White,Male,56,>50K
25,Private,HS-grad,9,Married-civ-spouse,Sales,White,Female,28,<=50K
43,State-gov,Some-college,10,Never-married,Sales,White,Male,48,>50K
40,Federal-gov,Bachelors,13,Divorced,Prof-specialty,Black,Male,56,>50K
48,State-gov,Bachelors,13,Never-married,Sales,White,Male,30,>50K
44,Federal-gov,11th,7,Married-civ-spouse,Prof-specialty,White,Female,60,>50K
49,Private,Bachelors,13,Married-civ-spouse,Craft-repair,White,Male,40,<=50K
31,Private,Some-college,10,Never-married,Prof-specialty,Black,Male,75,>50K
41,Private,HS-grad,9,Never-married,Machine-op-inspct,Black,Male,35,<=50K
36,Private,7th-8th,4,Married-civ-spouse,Craft-repair,White,Male,45,>50K
25,Private,HS-grad,9,Never-married,Prof-specialty,Black,Female,55,<=50K
33,Federal-gov,Doctorate,16,Never-married,Prof-specialty,White,Male,70,>50K
29,Private,HS-grad,9,Never-married,Prof-specialty,White,Male,55,>50K
42,Federal-gov,7th-8th,4,Married-civ-spouse,Craft-repair,Black,Female,45,>50K
41,Private,HS-grad,9,Widowed,Craft-repair,White,Male,48,>50K
29,Private,Some-college,10,Married-civ-spouse,Machine-op-inspct,White,Female,45,<=50K
27,Self-emp-not-inc,Bachelors,13,Never-married,Sales,White,Male,36,>50K
33,Private,10th,6,Widowed,Adm-clerical,Black,Male,56,>50K
26,Self-emp-not-inc,Bachelors,13,Never-married,Craft-repair,Black,Male,39,>50K
28,Self-emp-not-inc,HS-grad,9,Married-civ-spouse,Adm-clerical,White,Male,40,<=50K
36,Private,Bachelors,13,Divorced,Craft-repair,Black,Male,45,>50K
42,Private,Some-college,10,Widowed,Exec-managerial,White,Male,53,>50K
29,Self-emp-not-inc,11th,7,Never-married,Craft-repair,White,Male,34,>50K
40,Private,Bachelors,13,Widowed,Machine-op-inspct,White,Male,51,>50K
42,Self-emp-not-inc,Bachelors,13,Never-married,Sales,White,Male,45,<=50K
54,Private,Some-college,10,Married-civ-spouse,Other-service,White,Female,35,>50K
58,Local-gov,HS-grad,9,Divorced,Exec-managerial,Asian-Pac-Islander,Male,55,>50K
40,Private,Masters,14,Married-civ-spouse,Prof-specialty,Black,Male,30,<=50K
29,Self-emp-not-inc,Bachelors,13,Never-married,Adm-clerical,White,Female,25,<=50K
27,Private,HS-grad,9,Married-civ-spouse,Sales,Asian-Pac-Islander,Male,40,<=50K
46,Local-gov,Bachelors,13,Divorced,Exec-managerial,White,Female,35,>50K
51,Private,Some-college,10,Never-married,Other-service,Asian-Pac-Islander,Male,40,>50K
36,State-gov,Bachelors,13,Married-civ-spouse,Sales,White,Male,45,<=50K
39,Self-emp-not-inc,Bachelors,13,Never-married,Adm-clerical,White,Male,30,<=50K
