age,workclass,education,education-num,marital-status,occupation,race,sex,hours-per-week,income
56,Private,Some-college,10,Widowed,Adm-clerical,White,Male,73,<=50K
48,Private,Bachelors,13,Widowed,Handlers-cleaners,Asian-Pac-Islander,Male,12,<=50K
20,Private,Assoc-voc,11,Divorced,Machine-op-inspct,White,Male,43,>50K
36,Private,Prof-school,15,Never-married,Protective-serv,White,Male,35,<=50K
19,Private,HS-grad,9,Married-civ-spouse,Machine-op-inspct,White,Male,76,>50K
29,Self-emp-not-inc,Assoc-voc,11,Never-married,Prof-specialty,White,Male,36,<=50K
32,Private,Bachelors,13,Never-married,Other-service,Black,Male,45,<=50K
59,Local-gov,11th,7,Widowed,Farming-fishing,White,Male,14,>50K
54,Private,HS-grad,9,Married-civ-spouse,Tech-support,White,Male,50,<=50K
29,Private,11th,7,Widowed,Exec-managerial,White,Male,40,<=50K
56,Private,7th-8th,4,Married-spouse-absent,Exec-managerial,White,Male,79,<=50K
39,Private,Bachelors,13,Married-civ-spouse,Sales,White,Male,52,<=50K
48,Federal-gov,HS-grad,9,Separated,Exec-managerial,White,Male,47,<=50K
59,Private,HS-grad,9,Married-civ-spouse,Machine-op-inspct,White,Male,10,<=50K
59,Federal-gov,Bachelors,13,Married-civ-spouse,Adm-clerical,White,Male,75,<=50K
21,Private,HS-grad,9,Divorced,Exec-managerial,White,Male,30,<=50K
36,Private,Bachelors,13,Married-civ-spouse,Transport-moving,White,Male,16,<=50K
34,Private,Assoc-voc,11,Never-married,Handlers-cleaners,White,Male,42,<=50K
28,Private,Some-college,10,Never-married,Armed-Forces,White,Male,34,>50K
66,Local-gov,Bachelors,13,Married-civ-spouse,Craft-repair,White,Female,15,<=50K
61,Private,Doctorate,16,Never-married,Transport-moving,White,Male,46,<=50K
44,State-gov,Masters,14,Married-civ-spouse,Exec-managerial,Asian-Pac-Islander,Male,10,<=50K
20,Private,HS-grad,9,Divorced,Prof-specialty,White,Male,36,<=50K
54,Private,HS-grad,9,Married-civ-spouse,Exec-managerial,White,Male,39,<=50K
27,Federal-gov,7th-8th,4,Divorced,Armed-Forces,White,Male,10,>50K
30,State-gov,HS-grad,9,Never-married,Craft-repair,White,Male,30,<=50K
36,Private,HS-grad,9,Married-civ-spouse,Tech-support,White,Female,73,<=50K
18,Private,HS-grad,9,Never-married,Exec-managerial,White,Female,42,<=50K
22,Private,7th-8th,4,Divorced,Adm-clerical,Amer-Indian-Eskimo,Female,46,>50K
28,Private,Some-college,10,Married-civ-spouse,Exec-managerial,White,Male,44,<=50K
29,Private,Assoc-acdm,12,Married-civ-spouse,Handlers-cleaners,White,Male,44,<=50K
21,Self-emp-not-inc,9th,5,Never-married,Exec-managerial,Black,Female,65,<=50K
32,Private,Some-college,10,Never-married,Adm-clerical,White,Female,48,<=50K
38,Private,HS-grad,9,Married-civ-spouse,Craft-repair,White,Female,16,<=50K
26,Local-gov,Doctorate,16,Married-spouse-absent,Handlers-cleaners,White,Male,42,<=50K
57,Self-emp-inc,HS-grad,9,Never-married,Protective-serv,White,Male,55,<=50K
52,Private,Bachelors,13,Widowed,Prof-specialty,White,Male,39,>50K
39,Private,Assoc-voc,11,Married-civ-spouse,Handlers-cleaners,White,Male,45,<=50K
63,State-gov,Some-college,10,Married-civ-spouse,Exec-managerial,White,Female,69,>50K
32,Private,Assoc-acdm,12,Never-married,Exec-managerial,White,Female,68,<=50K
20,Self-emp-not-inc,Bachelors,13,Never-married,Priv-house-serv,White,Male,51,<=50K
24,Private,7th-8th,4,Married-civ-spouse,Exec-managerial,White,Male,45,>50K
22,Local-gov,Some-college,10,Never-married,Farming-fishing,Asian-Pac-Islander,Male,47,>50K
55,Private,Some-college,10,Married-civ-spouse,Sales,White,Male,48,<=50K
33,Private,Some-college,10,Never-married,Farming-fishing,White,Male,10,>50K
44,Private,HS-grad,9,Separated,Prof-specialty,White,Male,44,<=50K
41,State-gov,Prof-school,15,Married-civ-spouse,Farming-fishing,White,Male,10,<=50K
18,Private,Bachelors,13,Married-civ-spouse,Prof-specialty,Black,Male,48,>50K
37,State-gov,Masters,14,Married-spouse-absent,Other-service,White,Male,46,<=50K
36,Self-emp-not-inc,Assoc-acdm,12,Never-married,Farming-fishing,White,Male,73,>50K
48,Private,Some-college,10,Married-civ-spouse,Craft-repair,White,Male,70,<=50K
19,Private,HS-grad,9,Divorced,Machine-op-inspct,Amer-Indian-Eskimo,Male,43,<=50K
56,Private,7th-8th,4,Married-civ-spouse,Sales,White,Male,40,<=50K
35,Federal-gov,Doctorate,16,Never-married,Machine-op-inspct,White,Female,48,<=50K
18,State-gov,Some-college,10,Never-married,Priv-house-serv,White,Male,39,<=50K
28,Self-emp-not-inc,Masters,14,Never-married,Craft-repair,White,Male,37,<=50K
61,State-gov,12th,8,Divorced,Protective-serv,White,Female,37,<=50K
28,Federal-gov,Bachelors,13,Divorced,Handlers-cleaners,Asian-Pac-Islander,Female,68,<=50K
35,Private,Assoc-acdm,12,Divorced,Adm-clerical,White,Male,53,<=50K
41,Private,Bachelors,13,Married-civ-spouse,Adm-clerical,White,Male,44,<=50K
45,Private,Prof-school,15,Married-civ-spouse,Prof-specialty,White,Female,47,>50K
64,Private,Some-college,10,Married-civ-spouse,Exec-managerial,White,Female,37,<=50K
27,Private,Bachelors,13,Never-married,Prof-specialty,White,Female,20,<=50K
60,Private,Bachelors,13,Never-married,Machine-op-inspct,White,Female,73,<=50K
25,Private,Some-college,10,Married-civ-spouse,Sales,Black,Male,37,<=50K
47,Private,Some-college,10,Never-married,Machine-op-inspct,White,Male,17,<=50K
50,Private,Some-college,10,Never-married,Other-service,White,Male,36,>50K
17,Private,Some-college,10,Never-married,Handlers-cleaners,White,Female,42,<=50K
37,Private,Some-college,10,Divorced,Tech-support,White,Male,66,<=50K
22,Federal-gov,HS-grad,9,Married-spouse-absent,Exec-managerial,Asian-Pac-Islander,Male,44,<=50K
17,Private,9th,5,Married-civ-spouse,Prof-specialty,White,Female,38,<=50K
25,Private,Bachelors,13,Married-civ-spouse,Farming-fishing,White,Male,47,<=50K
25,Local-gov,Some-college,10,Never-married,Farming-fishing,Amer-Indian-Eskimo,Male,18,<=50K
49,Federal-gov,7th-8th,4,Married-civ-spouse,Prof-specialty,Other,Male,17,<=50K
43,Self-emp-not-inc,HS-grad,9,Married-civ-spouse,Exec-managerial,White,Female,69,>50K
29,Private,Assoc-voc,11,Never-married,Adm-clerical,Black,Female,37,<=50K
59,State-gov,9th,5,Never-married,Adm-clerical,White,Male,79,<=50K
28,Private,HS-grad,9,Married-civ-spouse,Handlers-cleaners,White,Male,65,<=50K
33,State-gov,Some-college,10,Never-married,Other-service,White,Male,71,<=50K
