age,workclass,education,education-num,marital-status,occupation,race,sex,hours-per-week,income
71,Private,Masters,14,Married-civ-spouse,Craft-repair,White,Male,41,<=50K
53,Private,Assoc-voc,11,Married-civ-spouse,Other-service,White,Female,40,<=50K
40,Private,Assoc-acdm,12,Never-married,Tech-support,White,Female,40,>50K
38,Private,10th,6,Married-civ-spouse,Transport-moving,White,Female,14,<=50K
63,Private,HS-grad,9,Married-civ-spouse,Exec-managerial,White,Male,39,<=50K
35,Private,HS-grad,9,Married-civ-spouse,Craft-repair,White,Female,39,>50K
57,Private,Bachelors,13,Never-married,Transport-moving,White,Male,4,>50K
18,Private,9th,5,Married-civ-spouse,Transport-moving,White,Male,39,>50K
49,State-gov,Bachelors,13,Never-married,Adm-clerical,White,Male,43,<=50K
43,Private,Bachelors,13,Married-civ-spouse,Machine-op-inspct,White,Male,37,>50K
42,Private,Prof-school,15,Married-civ-spouse,Transport-moving,White,Female,10,<=50K
69,Self-emp-inc,Some-college,10,Married-civ-spouse,Sales,White,Male,39,<=50K
48,Private,HS-grad,9,Married-civ-spouse,Machine-op-inspct,White,Female,39,>50K
67,Private,Some-college,10,Married-civ-spouse,Adm-clerical,White,Female,39,<=50K
46,Private,Some-college,10,Never-married,Adm-clerical,Asian-Pac-Islander,Female,40,<=50K
50,Private,12th,8,Married-civ-spouse,Machine-op-inspct,White,Female,40,<=50K
35,Private,HS-grad,9,Married-civ-spouse,Farming-fishing,White,Male,41,<=50K
21,Private,1st-4th,2,Married-spouse-absent,Adm-clerical,White,Male,59,<=50K
34,Private,Bachelors,13,Married-civ-spouse,Transport-moving,White,Female,40,>50K
45,Private,Bachelors,13,Never-married,Farming-fishing,White,Male,40,>50K
64,State-gov,9th,5,Never-married,Transport-moving,Black,Female,40,<=50K
54,Private,HS-grad,9,Separated,Machine-op-inspct,Black,Male,38,<=50K
76,Local-gov,Some-college,10,Never-married,Prof-specialty,White,Male,40,>50K
44,Private,Bachelors,13,Married-civ-spouse,Exec-managerial,White,Male,40,>50K
26,Private,Prof-school,15,Married-civ-spouse,Exec-managerial,Other,Female,38,<=50K
35,Private,Some-college,10,Married-civ-spouse,Tech-support,White,Male,40,<=50K
53,Self-emp-inc,1st-4th,2,Married-civ-spouse,Exec-managerial,Asian-Pac-Islander,Male,41,<=50K
82,Self-emp-inc,1st-4th,2,Never-married,Exec-managerial,White,Male,39,>50K
33,Self-emp-not-inc,HS-grad,9,Married-civ-spouse,Prof-specialty,White,Male,39,<=50K
27,Private,Some-college,10,Married-civ-spouse,Tech-support,Black,Male,37,<=50K
26,Private,Some-college,10,Married-civ-spouse,Sales,Black,Male,40,<=50K
57,Private,9th,5,Never-married,Exec-managerial,White,Male,41,<=50K
32,Private,Doctorate,16,Married-civ-spouse,Transport-moving,White,Male,44,<=50K
51,Private,Bachelors,13,Separated,Machine-op-inspct,White,Female,39,<=50K
24,Private,Bachelors,13,Never-married,Adm-clerical,White,Female,6,>50K
49,Private,Some-college,10,Married-civ-spouse,Adm-clerical,White,Female,39,<=50K
66,Private,Some-college,10,Divorced,Exec-managerial,White,Male,69,<=50K
56,State-gov,Some-college,10,Married-civ-spouse,Protective-serv,White,Male,39,>50K
46,Private,Some-college,10,Separated,Farming-fishing,White,Male,38,<=50K
43,Federal-gov,Some-college,10,Never-married,Transport-moving,White,Female,40,<=50K
46,Private,Some-college,10,Never-married,Adm-clerical,White,Male,38,>50K
39,Private,Some-college,10,Married-civ-spouse,Prof-specialty,White,Male,41,<=50K
56,Private,12th,8,Married-civ-spouse,Protective-serv,White,Female,39,<=50K
58,Private,Bachelors,13,Married-civ-spouse,Exec-managerial,White,Female,40,>50K
37,Private,11th,7,Never-married,Other-service,White,Male,12,<=50K
32,Local-gov,Some-college,10,Separated,Adm-clerical,White,Female,41,<=50K
