age,workclass,education,education-num,marital-status,occupation,race,sex,hours-per-week,income
50,Private,Masters,14,Divorced,Transport-moving,White,Male,40,<=50K
20,Private,HS-grad,9,Married-civ-spouse,Craft-repair,White,Female,63,<=50K
51,Self-emp-not-inc,Masters,14,Never-married,Craft-repair,White,Female,41,<=50K
26,Private,Masters,14,Married-civ-spouse,Craft-repair,White,Male,57,<=50K
17,Private,HS-grad,9,Never-married,Sales,White,Female,63,<=50K
64,Private,Bachelors,13,Never-married,Protective-serv,White,Male,19,<=50K
41,Private,HS-grad,9,Never-married,Other-service,White,Female,39,<=50K
23,Private,Bachelors,13,Divorced,Exec-managerial,White,Male,39,>50K
39,Private,HS-grad,9,Divorced,Adm-clerical,White,Male,38,<=50K
39,Private,Assoc-voc,11,Married-civ-spouse,Other-service,White,Female,41,>50K
36,State-gov,Some-college,10,Never-married,Prof-specialty,White,Female,42,>50K
49,Private,HS-grad,9,Married-civ-spouse,Sales,White,Male,41,<=50K
17,Private,HS-grad,9,Divorced,Machine-op-inspct,White,Female,50,<=50K
27,Private,Assoc-voc,11,Married-civ-spouse,Adm-clerical,White,Male,61,<=50K
48,Private,HS-grad,9,Married-civ-spouse,Exec-managerial,White,Male,38,<=50K
19,Private,Some-college,10,Divorced,Prof-specialty,White,Male,66,>50K
43,Federal-gov,7th-8th,4,Married-civ-spouse,Farming-fishing,White,Male,57,>50K
47,Self-emp-not-inc,Bachelors,13,Married-civ-spouse,Adm-clerical,White,Male,41,<=50K
29,Private,Some-college,10,Never-married,Prof-specialty,White,Female,65,<=50K
69,Private,Some-college,10,Divorced,Craft-repair,White,Male,45,<=50K
28,Private,Preschool,1,Divorced,Exec-managerial,White,Male,53,<=50K
44,Private,HS-grad,9,Never-married,Prof-specialty,White,Female,42,<=50K
22,Self-emp-not-inc,Bachelors,13,Married-civ-spouse,Tech-support,Asian-Pac-Islander,Male,41,<=50K
56,Private,Assoc-acdm,12,Never-married,Sales,White,Male,41,<=50K
20,Private,Some-college,10,Married-civ-spouse,Sales,White,Male,42,<=50K
36,Private,Some-college,10,Never-married,Sales,Black,Female,39,<=50K
27,Self-emp-not-inc,Some-college,10,Married-civ-spouse,Exec-managerial,White,Female,39,<=50K
