dataset,method,train_size,n_runs,n_success,success_rate,method_success_rate,fallback_rate,mean_fallback_fraction,mean_repair_fraction,mean_raw_valid_rate,mean_runtime_seconds,tstr_f1_mean,tstr_f1_std,tstr_f1_min,tstr_f1_max,tstr_f1_n,tstr_balanced_accuracy_mean,tstr_balanced_accuracy_std,tstr_balanced_accuracy_min,tstr_balanced_accuracy_max,tstr_balanced_accuracy_n,tstr_roc_auc_mean,tstr_roc_auc_std,tstr_roc_auc_min,tstr_roc_auc_max,tstr_roc_auc_n,tstr_f1_gap_to_real_train_mean,tstr_f1_gap_to_real_train_std,tstr_f1_gap_to_real_train_min,tstr_f1_gap_to_real_train_max,tstr_f1_gap_to_real_train_n,tstr_f1_relative_to_real_train_mean,tstr_f1_relative_to_real_train_std,tstr_f1_relative_to_real_train_min,tstr_f1_relative_to_real_train_max,tstr_f1_relative_to_real_train_n,distribution_distance_mean_mean,distribution_distance_mean_std,distribution_distance_mean_min,distribution_distance_mean_max,distribution_distance_mean_n,numeric_fidelity_distance_mean,numeric_fidelity_distance_std,numeric_fidelity_distance_min,numeric_fidelity_distance_max,numeric_fidelity_distance_n,categorical_fidelity_distance_mean,categorical_fidelity_distance_std,categorical_fidelity_distance_min,categorical_fidelity_distance_max,categorical_fidelity_distance_n,target_distribution_distance_mean,target_distribution_distance_std,target_distribution_distance_min,target_distribution_distance_max,target_distribution_distance_n,target_conditioned_distribution_distance_mean,target_conditioned_distribution_distance_std,target_conditioned_distribution_distance_min,target_conditioned_distribution_distance_max,target_conditioned_distribution_distance_n,feature_target_mean_dependency_distance_mean,feature_target_mean_dependency_distance_std,feature_target_mean_dependency_distance_min,feature_target_mean_dependency_distance_max,feature_target_mean_dependency_distance_n,constraint_violation_rate_mean,constraint_violation_rate_std,constraint_violation_rate_min,constraint_violation_rate_max,constraint_violation_rate_n,duplicate_rate_mean,duplicate_rate_std,duplicate_rate_min,duplicate_rate_max,duplicate_rate_n,exact_train_duplicate_rate_mean,exact_train_duplicate_rate_std,exact_train_duplicate_rate_min,exact_train_duplicate_rate_max,exact_train_duplicate_rate_n,runtime_seconds_mean,runtime_seconds_std,runtime_seconds_min,runtime_seconds_max,runtime_seconds_n,fallback_fraction_mean,fallback_fraction_std,fallback_fraction_min,fallback_fraction_max,fallback_fraction_n,repair_fraction_mean,repair_fraction_std,repair_fraction_min,repair_fraction_max,repair_fraction_n,raw_valid_rate_mean,raw_valid_rate_std,raw_valid_rate_min,raw_valid_rate_max,raw_valid_rate_n,primary_only_tstr_f1_mean,primary_only_tstr_f1_std,primary_only_tstr_f1_min,primary_only_tstr_f1_max,primary_only_tstr_f1_n,primary_only_distribution_distance_mean_mean,primary_only_distribution_distance_mean_std,primary_only_distribution_distance_mean_min,primary_only_distribution_distance_mean_max,primary_only_distribution_distance_mean_n,demographic_parity_difference_abs_mean,demographic_parity_difference_abs_std,demographic_parity_difference_abs_min,demographic_parity_difference_abs_max,demographic_parity_difference_abs_n,real_train_demographic_parity_difference_abs_mean,real_train_demographic_parity_difference_abs_std,real_train_demographic_parity_difference_abs_min,real_train_demographic_parity_difference_abs_max,real_train_demographic_parity_difference_abs_n,dpd_abs_difference_to_real_train_mean,dpd_abs_difference_to_real_train_std,dpd_abs_difference_to_real_train_min,dpd_abs_difference_to_real_train_max,dpd_abs_difference_to_real_train_n
adult,code_llm,100,3,3,1.0,1.0,0.0,0.0,0.0,,16.806753317515057,0.04913964275436364,0.04635864440567504,0.000855431993156544,0.09329674637397099,3,0.507263705278116,0.009784951489769975,0.4963910938765247,0.5153617804354277,3,0.5337654445755111,0.09876353231594474,0.42267462730516037,0.61163478776929,3,0.498793335172691,0.05029610907633184,0.45693509288414336,0.5545881163939402,3,0.09002838673597875,0.08436685950234415,0.0015400880893126892,0.1695589744493237,3,0.07494512505703939,0.009638879647055933,0.06409477549798329,0.08251749258179258,3,0.13933333333333334,0.0058118652580542215,0.13533333333333333,0.146,3,0.04722222222222222,0.002673602092336886,0.04466666666666667,0.05000000000000001,3,0.012666666666666673,0.013613718571108097,0.0020000000000000018,0.02800000000000001,3,0.20653834827455106,0.0034867267532137755,0.20310429247024245,0.21007546106517827,3,0.05158360531923469,0.008911612816235828,0.04277452766131165,0.0605943308681425,3,0.0,0.0,0.0,0.0,3,0.0,0.0,0.0,0.0,3,0.0,0.0,0.0,0.0,3,16.806753317515057,1.2900971859811785,15.597477912902832,18.164777040481567,3,0.0,0.0,0.0,0.0,3,0.0,0.0,0.0,0.0,3,,,,,0,,,,,0,,,,,0,0.03673794325407572,0.03959489912373206,0.0065753755202992425,0.08157524613220818,3,0.20694040680015433,0.07066456313159147,0.12993762993762992,0.26881720430107525,3,0.1702024635460786,0.04106356142184078,0.12336225441733067,0.20000317805203807,3
adult,ctgan,100,3,3,1.0,1.0,0.0,0.0,0.0,0.9926666666666666,1.9496094385782878,0.029696883732053758,0.012197045959806283,0.015618577887381833,0.03708086785009862,3,0.49291116045156547,0.003919872018198025,0.488407635352399,0.49555546968618774,3,0.5158682164639995,0.10109364505565159,0.4454220341697122,0.6317010255163567,3,0.5182360941950007,0.004333554076980116,0.5138406337994336,0.5225049682485706,3,0.05397370655944542,0.021609182219858792,0.02902414882146028,0.06675902161034089,3,0.12693413358879202,0.004031475373752812,0.1245296962804663,0.13158842475261107,3,0.3191111111111111,0.032147806791155746,0.2853333333333334,0.34933333333333333,3,0.08922222222222222,0.008578612509758951,0.07933333333333333,0.09466666666666668,3,0.015333333333333338,0.018583146486355142,0.0,0.036000000000000004,3,0.27558347471814965,0.029833461900782603,0.24184106742930273,0.29846491228070177,3,0.08978586321570663,0.02973431867042455,0.05617964007107062,0.11267962592390957,3,0.0,0.0,0.0,0.0,3,0.0,0.0,0.0,0.0,3,0.0,0.0,0.0,0.0,3,1.9496094385782878,0.09977113829324588,1.8356170654296875,2.021048069000244,3,0.0,0.0,0.0,0.0,3,0.0,0.0,0.0,0.0,3,0.9926666666666666,0.008220300075625813,0.9832,0.998,3,,,,,0,,,,,0,0.02697025351413228,0.023015140236796627,0.0020732779353469233,0.04746871865699864,3,0.20694040680015433,0.07066456313159147,0.12993762993762992,0.26881720430107525,3,0.17997015328602206,0.07049884000725737,0.09856886598757864,0.2213484856440766,3
adult,ctgan_strong,100,3,3,1.0,1.0,0.0,0.0,0.0,0.9975999999999999,10.552156845728556,0.1108601137884896,0.022846397423990156,0.08468809073724008,0.12681436210847977,3,0.5159309531019177,0.008888866767093221,0.5065348556412254,0.524206286666466,3,0.5551300102984215,0.06211799310361185,0.49533434201029947,0.6193353306182872,3,0.4370728641385649,0.014172848654894479,0.428629186278617,0.4534354553987124,3,0.20191246991535364,0.03878978755030372,0.15737666813755133,0.22831188241671857,3,0.11281441909491559,0.014343983774921647,0.09797877120017988,0.12661013722396938,3,0.2617777777777778,0.03624811617071879,0.22133333333333335,0.29133333333333333,3,0.06433333333333334,0.003785938897200173,0.061666666666666675,0.06866666666666665,3,0.02200000000000001,0.014000000000000002,0.006000000000000005,0.032,3,0.2531735175931403,0.008981882528580985,0.24583476708937563,0.2631896455217738,3,0.08936793844599121,0.00833041813795187,0.08135196927170252,0.09798070804448598,3,0.0,0.0,0.0,0.0,3,0.0,0.0,0.0,0.0,3,0.0,0.0,0.0,0.0,3,10.552156845728556,0.07960610586414511,10.473682880401611,10.632848739624023,3,0.0,0.0,0.0,0.0,3,0.0,0.0,0.0,0.0,3,0.9975999999999999,0.003124099870362673,0.994,0.9996,3,,,,,0,,,,,0,0.051270120357395525,0.037748093219223906,0.013470613470613513,0.08896658896658896,3,0.20694040680015433,0.07066456313159147,0.12993762993762992,0.26881720430107525,3,0.15567028644275882,0.10797446764625696,0.040971040971040956,0.25534659083046174,3
adult,direct_icl,100,3,3,1.0,1.0,1.0,0.3853333333333333,0.3853333333333333,,569.2079510688782,0.466278476888154,0.04601536861736385,0.41946748144914886,0.5114546470478674,3,0.6454518699101846,0.03155483271927343,0.6138143483750326,0.6769233585957921,3,0.7224168969328951,0.04411888448155968,0.6714742199217664,0.7482179506217125,3,0.08165450103890053,0.04959973363842559,0.038777192210247,0.1359760669379479,3,0.8514156979077229,0.08856603992458757,0.7551937234075421,0.9295257208987927,3,0.13662298212561594,0.012068995753711328,0.12317864126423173,0.1465228769945324,3,0.13155555555555556,0.020180665481080134,0.11,0.15,3,0.14177777777777778,0.012212622492656864,0.12899999999999998,0.15333333333333332,3,0.21266666666666664,0.012055427546683413,0.19999999999999998,0.22399999999999998,3,0.19227990994131738,0.009501866738171575,0.18132996632996634,0.1983544838576845,3,0.02853313775054313,0.010901738889260148,0.022012222604670947,0.04111862401270362,3,0.0,0.0,0.0,0.0,3,0.0,0.0,0.0,0.0,3,0.0,0.0,0.0,0.0,3,569.2079510688782,68.83506561749336,495.3884541988373,631.6378419399261,3,0.3853333333333333,0.04908496035786657,0.338,0.436,3,0.3853333333333333,0.04908496035786657,0.338,0.436,3,,,,,0,0.5287023193258943,0.01713099201640385,0.5091589784730579,0.5411224343332854,3,0.1975684585448718,0.015066617714235194,0.18138594522006382,0.21119123093230224,3,0.11733452399614759,0.040394108678575964,0.07914438502673798,0.15962051800014426,3,0.20694040680015433,0.07066456313159147,0.12993762993762992,0.26881720430107525,3,0.10939447484568297,0.06932171207590991,0.029682888062514345,0.1555785353395147,3
adult,fallback_only,100,3,3,1.0,1.0,1.0,1.0,0.0,1.0,0.3864263693491618,0.010883955140228446,0.005411808704991209,0.006433453960595094,0.016908212560386472,3,0.492277996836016,0.004942726309901495,0.4876678236685603,0.49749689036241285,3,0.40626311492972617,0.08532531488327787,0.317529729703749,0.48771348481027105,3,0.5370490227868261,0.013761987500760124,0.521215333575566,0.546133349487393,3,0.019958228927155344,0.010245286308662426,0.011692260428384905,0.03142068895107361,3,0.07137521488746242,0.009073881556049872,0.06193816544176411,0.08003606123757716,3,0.12866666666666665,0.00480740170061866,0.12466666666666666,0.134,3,0.05644444444444446,0.0039487456986481975,0.054,0.06100000000000002,3,0.0040000000000000036,0.0020000000000000018,0.0020000000000000018,0.006000000000000005,3,0.21163053515526772,0.005043228367106026,0.20698540022069434,0.21699468008211176,3,0.05044363216595332,0.004351405428716954,0.0477330459214786,0.05546283997927121,3,0.0,0.0,0.0,0.0,3,0.0,0.0,0.0,0.0,3,0.0,0.0,0.0,0.0,3,0.3864263693491618,0.12128964574266253,0.3004150390625,0.5251541137695312,3,1.0,0.0,1.0,1.0,3,0.0,0.0,0.0,0.0,3,1.0,0.0,1.0,1.0,3,,,,,0,,,,,0,0.02554027866701143,0.023905199944828735,0.0016830294530154055,0.0494931425163983,3,0.20694040680015433,0.07066456313159147,0.12993762993762992,0.26881720430107525,3,0.18140012813314288,0.08167910460364655,0.10449296590600934,0.26713417484805985,3
adult,code_llm,500,3,3,1.0,1.0,0.3333333333333333,0.0006666666666666666,0.0006666666666666666,,18.111898104349773,0.07437231801025102,0.04924015100152773,0.017587939698492462,0.10526315789473684,3,0.5077560382116719,0.007977014738203158,0.49860268684830106,0.5132242761444188,3,0.5232217051227922,0.04959120545541563,0.46599193581232434,0.5535256093232714,3,0.5161461414078935,0.0668134577997941,0.4591698317959848,0.5896821957255988,3,0.12753561728971152,0.08591309160659268,0.028962299761719393,0.1864936313386205,3,0.06446936729286933,0.00503002671838272,0.058684473513712476,0.06781172724132496,3,0.12555555555555556,0.015396007178390032,0.11666666666666665,0.14333333333333334,3,0.030777777777777782,0.005295001136641713,0.024666666666666674,0.034,3,0.013333333333333341,0.021385353243127264,0.0,0.03800000000000002,3,0.19486130095717813,0.006974630900051282,0.1897165956191894,0.20279970258522076,3,0.05232737282799569,0.0033690322814386013,0.049690874877606865,0.056122926272078016,3,0.0,0.0,0.0,0.0,3,0.0,0.0,0.0,0.0,3,0.0,0.0,0.0,0.0,3,18.111898104349773,0.8053124323202908,17.597345113754272,19.039961099624634,3,0.0006666666666666666,0.0011547005383792516,0.0,0.002,3,0.0006666666666666666,0.0011547005383792516,0.0,0.002,3,,,,,0,,,,,0,,,,,0,0.041073672000571805,0.04581231854239829,0.004626545266118914,0.092500755434686,3,0.20411534817898638,0.011031367951452738,0.19255183327039616,0.2145236508994004,3,0.16304167617841459,0.05667270252957312,0.10005107783571016,0.20989710563328148,3
adult,ctgan,500,3,3,1.0,1.0,0.0,0.0,0.0,0.9932,7.246306737263997,0.018417889164241173,0.013276334181536224,0.0040683482506102524,0.03026481715006305,3,0.49737714053993476,0.007617864258228069,0.48888887975384976,0.5036197522256961,3,0.4654629959662197,0.19188172439380627,0.24552716863228818,0.5986638613945292,3,0.5721005702539034,0.03318736909065699,0.5341681725406586,0.5957839048890106,3,0.03161739494485924,0.023546941308427414,0.0067822505113826915,0.053619858695088875,3,0.12677427663081042,0.006149853954236008,0.11999608313640761,0.1319971599993936,3,0.28844444444444445,0.042001763631401824,0.24,0.31466666666666665,3,0.0978888888888889,0.01568556779453767,0.081,0.11200000000000003,3,0.032666666666666684,0.005033222956847163,0.02800000000000001,0.038000000000000006,3,0.2585635155303474,0.034028630692810424,0.23206937726283988,0.2969401128117669,3,0.09072195528587897,0.01984938962836291,0.06805357199459831,0.1049898421846518,3,0.0,0.0,0.0,0.0,3,0.0,0.0,0.0,0.0,3,0.0,0.0,0.0,0.0,3,7.246306737263997,0.30068839729428903,7.030518054962158,7.58976411819458,3,0.0,0.0,0.0,0.0,3,0.0,0.0,0.0,0.0,3,0.9932,0.008313843876330593,0.9836,0.998,3,,,,,0,,,,,0,0.05029995326668918,0.03844625024579557,0.017412644618441053,0.0925686507731292,3,0.20411534817898638,0.011031367951452738,0.19255183327039616,0.2145236508994004,3,0.1538153949122972,0.028114132540265516,0.1219550001262712,0.1751391886519551,3
adult,ctgan_strong,500,3,3,1.0,1.0,0.0,0.0,0.0,0.9929333333333332,12.05598227183024,0.05517830141169732,0.02885569254253723,0.03244058845718597,0.08763977032336054,3,0.4829476189548633,0.013492358098192221,0.4681862951814467,0.4946435117035451,3,0.4736826971425064,0.08719323237138493,0.4080365633173313,0.5726162670536775,3,0.5353401580064472,0.034365730587850245,0.5122124828162602,0.5748295469669052,3,0.09335132009553747,0.047652362437356696,0.0534203586918215,0.1461022607894775,3,0.11981631813085587,0.01265332653983023,0.10978938174077993,0.13403315975608782,3,0.2733333333333333,0.050719270937627285,0.22399999999999998,0.3253333333333333,3,0.059777777777777784,0.007669081745216627,0.052,0.06733333333333334,3,0.05933333333333334,0.014189197769195163,0.04400000000000001,0.07199999999999998,3,0.25559703127065664,0.02459129544788487,0.23079851060514125,0.279975725705519,3,0.09194070323855193,0.022398977135968712,0.06607960944242733,0.10521337217431957,3,0.0,0.0,0.0,0.0,3,0.0,0.0,0.0,0.0,3,0.0,0.0,0.0,0.0,3,12.05598227183024,0.019066307374355503,12.037330865859985,12.075438022613525,3,0.0,0.0,0.0,0.0,3,0.0,0.0,0.0,0.0,3,0.9929333333333332,0.005430776494511033,0.9872,0.998,3,,,,,0,,,,,0,0.02437732259844359,0.017151038354470495,0.004703722824528189,0.036181410107576806,3,0.20411534817898638,0.011031367951452738,0.19255183327039616,0.2145236508994004,3,0.17973802558054283,0.020167178385307426,0.16030499840717038,0.20056683754263444,3
adult,direct_icl,500,3,3,1.0,1.0,1.0,0.43533333333333335,0.43533333333333335,,671.6845647493998,0.5175155566253462,0.06299971425050467,0.4448051948051948,0.5558370687975054,3,0.6835688887494742,0.04402929010743016,0.6327322906234276,0.7095427106224512,3,0.7596378316767572,0.03855032728771547,0.7151660509790837,0.7835539824737107,3,0.07300290279279836,0.0404159264546581,0.047947846866282395,0.11962779488552683,3,0.8744761333184123,0.07487930856494704,0.7880566921662813,0.9200672388653642,3,0.11693498258224151,0.02018632923484578,0.09366465099717815,0.12973489681048397,3,0.12533333333333332,0.01670661878152222,0.10933333333333334,0.14266666666666666,3,0.1177777777777778,0.01593853936334936,0.09966666666666668,0.12966666666666668,3,0.18266666666666664,0.044736264186153625,0.134,0.22199999999999998,3,0.17042147294748822,0.008985307061617534,0.16045554265569711,0.1779036215712269,3,0.03002015909664073,0.008443827136843678,0.021456766533799142,0.038339112810762556,3,0.0,0.0,0.0,0.0,3,0.0,0.0,0.0,0.0,3,0.0,0.0,0.0,0.0,3,671.6845647493998,24.623754292197695,643.8264510631561,690.5404260158539,3,0.43533333333333335,0.049166384179979435,0.384,0.482,3,0.43533333333333335,0.049166384179979435,0.384,0.482,3,,,,,0,0.5298352569877443,0.02138796001638065,0.5053777374627446,0.5450333832947268,3,0.17938158352509448,0.02343220328485578,0.15271767335874287,0.1966941254699472,3,0.07862164108566916,0.0143850329326163,0.06204424024086741,0.08781671251131878,3,0.20411534817898638,0.011031367951452738,0.19255183327039616,0.2145236508994004,3,0.12549370709331722,0.023998047324304658,0.10654786276557487,0.152479410658533,3
adult,fallback_only,500,3,3,1.0,1.0,1.0,1.0,0.0013333333333333333,1.0,0.4342054526011149,0.033026001358482625,0.021577200424902403,0.008329862557267805,0.04822908816880181,3,0.4955690668405753,0.004320558780612964,0.4919102623226267,0.5003356599856363,3,0.47046187910228254,0.06709577123956087,0.41770698600289957,0.5459772281182576,3,0.557492458059662,0.006673322425041902,0.551623164970819,0.564751082074713,3,0.055058748716465544,0.03528567088867102,0.014757930010136568,0.08040161209092946,3,0.06072899715202704,0.006602719439447836,0.05472366857910779,0.06779957559005403,3,0.11822222222222223,0.015410434175631841,0.102,0.13266666666666668,3,0.03488888888888889,0.0045501322732096165,0.03,0.039,3,0.006666666666666668,0.006429100507328635,0.0020000000000000018,0.013999999999999999,3,0.1918614023308872,0.01430682916269487,0.17831186901894036,0.2068210923806297,3,0.049052598679398984,0.00778395463298432,0.042657327194652365,0.057719724956150076,3,0.0,0.0,0.0,0.0,3,0.0,0.0,0.0,0.0,3,0.0,0.0,0.0,0.0,3,0.4342054526011149,0.08927267612406005,0.3454091548919678,0.52394700050354,3,1.0,0.0,1.0,1.0,3,0.0013333333333333333,0.0011547005383792516,0.0,0.002,3,1.0,0.0,1.0,1.0,3,,,,,0,,,,,0,0.019290266432925713,0.0186187862289273,0.0007013001024976928,0.03793872996551023,3,0.20411534817898638,0.011031367951452738,0.19255183327039616,0.2145236508994004,3,0.1848250817460607,0.01524705947876855,0.1673318304016524,0.19529288166863118,3
